Address,AreaName,bedrooms,bathrooms,sqft_living,sqft_lot,floors, price 
"#1908 - 35 Balmuto St Toronto, ON",Downtown,3,2.25,1646,7364,2,"$307,500.00 "
"#1206 - 11 Wincott Dr Toronto, ON",The Westway,5,3.75,4210,14599,2,"$937,500.00 "
"#2405 - 5 St Joseph St Toronto, ON",Downtown,3,3,2480,45302,1,"$610,000.00 "
"#804 - 581 Avenue Rd Toronto, ON",Midtown Toronto,3,1.5,1590,7080,1,"$720,000.00 "
"#105 - 60 Haslett Ave Toronto, ON",The Beach,4,2,2130,2620,1.5,"$610,000.00 "
"#3 - 125 Isaac Devins Blvd Toronto, ON",Humberlea,3,1.75,1650,7965,1,"$434,500.00 "
"#812 - 1 Avondale Ave Toronto, ON",Willowdale,2,2.5,3090,47044,1,"$602,500.00 "
"#309 - 68 Canterbury Pl Toronto, ON",Willowdale,4,2.5,2180,4000,2,"$607,010.00 "
"18 Bathford Cres Toronto, ON",Bayview Village,3,1,1800,5750,1,"$610,000.00 "
"#311 - 3559 Eglinton Ave Toronto, ON",Mount Dennis,4,2.5,3720,35000,2,"$828,500.00 "
"#134 - 150 Burrows Hall Blvd Toronto, ON",Malvern,3,1,1100,8560,1,"$199,990.00 "
"1602 Bloor St Toronto, ON",High Park North,3,1.75,1530,9362,1,"$294,000.00 "
"435 Murray Ross Pkwy Toronto, ON",York University Heights,4,2.5,3010,6100,2,"$789,500.00 "
"181 Goddard St Toronto, ON",Bathurst Manor,3,3.5,3500,9473,2,"$797,000.00 "
"#1906 - 21 Widmer St Toronto, ON",Downtown,5,3,3100,5250,2,"$539,950.00 "
"#3108 - 21 Widmer St Toronto, ON",Downtown,4,1.5,2000,6778,1,"$284,950.00 "
"#728 - 231 Fort York Blvd Toronto, ON",Niagara,4,1.5,2290,10372,1,"$776,500.00 "
"#2630 - 165 Legion Rd Toronto, ON",Mimico,4,2.5,2400,10070,1,"$525,000.00 "
"125 Trowell Ave Toronto, ON",Silverthorn,3,2.5,1850,4957,2,"$303,000.00 "
"#3311 - 36 Lee Centre Dr Toronto, ON",Woburn,3,3.25,3680,7650,2,"$722,080.00 "
"1209 Glencairn Ave Toronto, ON",Glen Park,3,1,1060,7473,1,"$140,000.00 "
"40 Clearbrooke Circ Toronto, ON",Rexdale,3,1,1060,7473,1,"$235,000.00 "
"#2601 - 225 Sherway Gardens Rd Toronto, ON",Islington - City Centre West,3,1,1610,5500,1.5,"$440,000.00 "
"#3301 - 5168 Yonge St Toronto, ON",Willowdale,3,1.75,2330,6000,1.5,"$605,000.00 "
"#1012 - 15 James Finlay Way Toronto, ON",Downsview,2,1,1210,4800,1,"$380,000.00 "
"#309 - 3 Michael Power Pl Toronto, ON",Islington - City Centre West,4,1,1530,8890,1,"$352,000.00 "
"66 Cotswold Cres Toronto, ON",St. Andrew - Windfields,4,2.25,2270,12000,1,"$420,000.00 "
"#509 - 1 Ripley Ave Toronto, ON",Swansea,4,2,2590,7220,2,"$1,175,000.00 "
"#314 - 21 Scollard St Toronto, ON",Midtown Toronto,3,1.5,1850,10572,1,"$1,375,000.00 "
"211 Cranbrooke Ave Toronto, ON",Bedford Park,3,1.5,1500,14750,1.5,"$300,000.00 "
"#P311 - 25 Soho St Toronto, ON",Downtown,4,3.25,4740,49091,2,"$1,150,000.00 "
"#2209 - 18 Sommerset Way Toronto, ON",Willowdale,2,1.5,1710,4189,1,"$453,500.00 "
"90 Lonsdale Rd Toronto, ON",Midtown Toronto,3,2,1920,7598,1,"$443,500.00 "
"51B Sherwood Ave Toronto, ON",Sherwood Park,2,1,1150,8138,1,"$332,000.00 "
"#2605 - 18 Holmes Ave Toronto, ON",Willowdale,3,2.5,2320,4721,2,"$655,000.00 "
"2 Chauncey Ave Toronto, ON",Islington - City Centre West,4,1,1420,6000,1.5,"$475,000.00 "
"#825 - 68 Abell St Toronto, ON",Little Portugal,3,1.75,1550,12956,1,"$372,500.00 "
"#3708 - 8 Park Rd Toronto, ON",Midtown Toronto,4,2.5,2920,7200,1,"$1,050,000.00 "
"273 Murray Ross Pkwy Toronto, ON",York University Heights,3,1.75,1620,4200,1,"$500,000.00 "
"#2517 - 70 Temperance St Toronto, ON",Downtown,6,2.75,2300,24773,1.5,"$900,000.00 "
"#2506 - 28 Ted Rogers Way Toronto, ON",Downtown,3,1,1070,7140,1,"$327,500.00 "
"253 Searle Ave Toronto, ON",Bathurst Manor,3,1.75,1790,7123,1,"$390,000.00 "
"121 Clearbrooke Circ Toronto, ON",Rexdale,2,1.5,1510,1962,2,"$451,101.00 "
"#335 - 58 Marine Parade Dr Toronto, ON",Mimico,4,1,1340,5800,1.5,"$455,000.00 "
"#1907 - 11 Bogert Ave Toronto, ON",Lansing,4,2.5,3350,46748,2,"$650,000.00 "
"275 Riverside Dr Toronto, ON",Swansea,3,2.5,2500,7746,2,"$895,000.00 "
"#1609 - 85 Queens Wharf Rd Toronto, ON",Downtown,4,2.25,2350,10664,1,"$800,000.00 "
"#4901 - 11 Brunel Crt Toronto, ON",Downtown,4,2.25,2550,12918,2,"$703,770.00 "
"298 Lauder Ave Toronto, ON",Oakwood Village,3,1.75,1320,10454,1,"$249,950.00 "
"#1110 - 275 Yorkland Rd Toronto, ON",Henry Farm,2,2,1270,3881,1,"$512,000.00 "
"#1807 - 2121 Lake Shore Blvd Toronto, ON",Humber Bay Shores,5,2.5,3480,74052,1,"$780,000.00 "
"#1009 - 21 Grand Magazine St Toronto, ON",Niagara,3,2.25,2820,11625,2,"$336,000.00 "
"#102 - 352 Front St Toronto, ON",Downtown,3,2,2110,6900,1.5,"$285,000.00 "
"262 Weston Rd Toronto, ON",Rockcliffe - Smythe,3,1.75,1100,7224,1,"$229,900.00 "
"#516 - 181 Village Green Sq Toronto, ON",Agincourt,4,3,1920,4000,1.5,"$667,500.00 "
"112 Bombay Ave Toronto, ON",Armour Heights,4,2.5,1890,12236,1,"$378,000.00 "
"#2606 - 33 Charles St Toronto, ON",Downtown,3,2.5,2530,43733,2,"$454,000.00 "
"178 Roslin Ave Toronto, ON",North Toronto,4,2.5,2550,4630,2,"$537,500.00 "
"52 Avonhurst Rd Toronto, ON",Eatonville,3,1,1550,4160,1.5,"$425,000.00 "
"#821 - 800 Lawrence Ave Toronto, ON",Lawrence Heights,3,2,1760,6600,1,"$290,000.00 "
"#410 - 1060 Sheppard Ave Toronto, ON",Downsview,3,2,1270,3600,1,"$349,500.00 "
"#1109 - 88 Grandview Way Toronto, ON",Willowdale,3,2.75,1250,1655,2,"$370,000.00 "
"171 Cornelius Pkwy Toronto, ON",Maple Leaf,3,1.75,1620,8438,1,"$549,500.00 "
"32 Berkindale Dr Toronto, ON",St. Andrew - Windfields,2,1,710,6322,1,"$245,000.00 "
"#Lph2 - 1910 Lake Shore Blvd Toronto, ON",Sunnyside,3,1.75,1070,7200,1,"$208,000.00 "
"#312 - 710 Humberwood Blvd Toronto, ON",Rexdale,4,2.25,2320,8760,1,"$248,000.00 "
"#Ph01 - 1910 Lake Shore Blvd Toronto, ON",Sunnyside,4,3.25,5450,37058,1.5,"$610,000.00 "
"2656 Bayview Ave Toronto, ON",York Mills,4,2.5,1670,5116,2,"$550,000.00 "
"588 Conacher Dr Toronto, ON",Newtonbrook,3,2.75,3010,206910,2,"$750,000.00 "
"1 Old Yonge St Toronto, ON",York Mills,2,1.75,1340,7380,1,"$192,000.00 "
"#1002 - 3 Marine Parade Dr Toronto, ON",Mimico,2,1,790,4000,1,"$169,317.00 "
"#432 - 22 Leader Lane Toronto, ON",Downtown,4,3.5,3400,3850,2.5,"$1,198,000.00 "
"#2109 - 59 Annie Craig Dr Toronto, ON",Mimico,2,1,1530,6350,1.5,"$880,000.00 "
"201 Boulton Ave Toronto, ON",Riverside,1,1,930,7129,1,"$210,000.00 "
"426 Kingston Rd Toronto, ON",Upper Beaches,3,1.5,1540,9800,1,"$180,500.00 "
"#1822 - 3 Greystone Walk Dr Toronto, ON",Kennedy Park,4,2,1990,29078,2,"$540,000.00 "
"352 Maple Leaf Dr Toronto, ON",Maple Leaf,3,1.75,2300,35722,1,"$520,000.00 "
"#3105 - 5 Valhalla Inn Rd Toronto, ON",Islington - City Centre West,3,1.5,1220,6000,1,"$177,500.00 "
"#416 - 101 Charles St Toronto, ON",Downtown,3,1.75,2380,5650,1,"$415,000.00 "
"#903 - 1 Michael Power Pl Toronto, ON",Islington - City Centre West,4,2.5,2020,7200,1,"$495,000.00 "
"#802 - 101 Peter St Toronto, ON",Downtown,3,2.25,1890,9646,1,"$325,000.00 "
"#1901 - 45 Charles St Toronto, ON",Downtown,2,1.75,1330,4903,1,"$440,000.00 "
"#804 - 1040 The Queensway Ave Toronto, ON",The Queensway,3,1.75,1490,9844,1,"$411,000.00 "
"#C002 - 2300 Yonge St Toronto, ON",Lawrence Park South,5,3.5,3550,9600,2,"$810,000.00 "
"#423 - 2737 Keele St Toronto, ON",Downsview,5,1.75,2040,8996,1,"$561,750.00 "
"#307 - 8 Rean Dr Toronto, ON",Bayview Village,4,2.5,2380,12573,1,"$835,100.00 "
"#2603 - 22 Olive Ave Toronto, ON",Willowdale,3,2.25,1780,9969,1,"$450,000.00 "
"#406 - 1387 Bayview Ave Toronto, ON",Leaside,3,2.5,1650,2807,2,"$238,000.00 "
"#2708 - 103 The Queensway Ave Toronto, ON",Swansea,3,1,1510,142803,1,"$299,000.00 "
"44 Nottingham Dr Toronto, ON",Chestnut Hills,2,1,1100,6240,1,"$570,000.00 "
"#Ph08 - 80 Antibes Dr Toronto, ON",Newtonbrook,3,1.75,2190,12626,2,"$340,000.00 "
"#604 - 218 Queens Quay Toronto, ON",Downtown,2,1.75,1760,2275,1.5,"$450,000.00 "
"#2106 - 88 Sheppard Ave Toronto, ON",Lansing,4,1.5,1800,8786,1,"$272,750.00 "
"#2702 - 180 University Ave Toronto, ON",Downtown,4,2,2000,6380,2,"$520,000.00 "
"#912 - 236 Albion Rd Toronto, ON",Rexdale,3,1,990,10723,1,"$284,950.00 "
"#119 - 45 Overlea Blvd Toronto, ON",Thorncliffe Park,2,1.5,1480,9660,1,"$255,000.00 "
"#3008 - 11 Bogert Ave Toronto, ON",Lansing,2,1,1200,9488,1,"$231,500.00 "
"#7407 - 388 Yonge St Toronto, ON",Downtown,1,2,3000,204732,2.5,"$415,000.00 "
"#3B - 4773 Yonge St Toronto, ON",Willowdale,4,2.5,3504,6000,2,"$330,000.00 "
"#1207 - 70 Forest Manor Rd Toronto, ON",Henry Farm,3,1.5,1300,12240,1,"$365,000.00 "
"#3027 - 165 Legion Rd Toronto, ON",Mimico,4,2,1330,9188,1.5,"$425,000.00 "
"#1008 - 12 York St Toronto, ON",Downtown,4,1.75,1850,6480,1,"$400,000.00 "
"#441 - 36 Via Bagnato Toronto, ON",Lawrence Heights,4,2.5,2240,9701,2,"$335,000.00 "
"#1020 - 39 Queens Quay Toronto, ON",Downtown,3,3,1260,1251,2,"$342,000.00 "
"#209B - 80 Nashdene Rd Toronto, ON",Armdale,8,5,2800,2580,2,"$490,000.00 "
"#4 - 228 Queens Quay Toronto, ON",Downtown,4,1.75,1820,14319,1,"$331,500.00 "
"#2101 - 66 Forest Manor Rd Toronto, ON",Henry Farm,3,2.5,1730,4102,3,"$960,000.00 "
"#2210 - 2175 Lake Shore Blvd Toronto, ON",Humber Bay Shores,4,2.5,3350,35298,2,"$720,500.00 "
"#200C - 80 Sheppard Ave Toronto, ON",Willowdale,3,2.5,3370,6550,2,"$830,000.00 "
"Gibbs Road Toronto, ON",Islington - City Centre West,3,1.75,1240,3600,1.5,"$662,990.00 "
"1059 Briar Hill Ave Toronto, ON",Fairbank,4,2,2340,10507,1.5,"$220,000.00 "
"798 QUEEN ST E Toronto, ON",Riverdale,5,2,1880,4179,1,"$349,950.00 "
"#2811 - 155 YORKVILLE AVE Toronto, ON",Midtown Toronto,3,2,1810,2159,1,"$550,000.00 "
"35 MYRTLE AVE Toronto, ON",Leslieville,3,1.75,2340,5668,1,"$396,000.00 "
"#1609 - 1 THE ESPLANADE Toronto, ON",Downtown,4,1.5,2820,4000,2,"$635,000.00 "
"#917 - 68 ABELL ST Toronto, ON",Little Portugal,3,1,1020,7650,1,"$293,000.00 "
"#1601 - 1 THE ESPLANADE Toronto, ON",Downtown,3,2.25,2090,10120,1,"$339,000.00 "
"#401 - 600 EGLINTON AVE E Toronto, ON",Midtown Toronto,4,2.25,1830,8734,2,"$285,000.00 "
"#930 - 68 ABELL ST Toronto, ON",Little Portugal,6,2.75,2980,5000,1.5,"$775,000.00 "
"#311 - 1088 PROGRESS AVE Toronto, ON",Malvern,4,1.5,1600,9289,1,"$224,000.00 "
"#603 - 3 NAVY WHARF CRT Toronto, ON",Downtown,4,3.5,4440,8125,2,"$2,250,000.00 "
"#720 - 25 COLE ST Toronto, ON",Downtown,3,1,1200,8514,1,"$165,050.00 "
"#2608 - 15 FORT YORK BLVD Toronto, ON",Downtown,3,1.25,1230,4500,1.5,"$275,000.00 "
"1245 Dupont Street Toronto, ON",Wallace Emerson,5,3,2930,5500,1,"$445,000.00 "
"#1601 - 1171 QUEEN ST W Toronto, ON",Little Portugal,3,2.25,2370,38639,1,"$510,000.00 "
"#1211 - 15 ICEBOAT TERR Toronto, ON",Downtown,4,2.5,3040,7000,2,"$1,230,000.00 "
"#507 - 783 BATHURST ST Toronto, ON",Downtown,3,1.5,1610,13500,1,"$390,000.00 "
"#18 - 20 TURNTABLE CRES Toronto, ON",Davenport,3,2.25,2350,10450,1,"$460,000.00 "
"#1211 - 65 BREMNER BLVD Toronto, ON",Downtown,3,1.75,2000,14733,1,"$700,000.00 "
"#810 - 500 SHERBOURNE ST Toronto, ON",Downtown,4,3.5,3530,14406,2,"$874,150.00 "
"#2108 - 770 BAY ST Toronto, ON",Downtown,3,2.25,2220,9800,2,"$470,000.00 "
"#1115 - 20 JOE SHUSTER WAY Toronto, ON",Toronto,3,1.75,2000,9416,1,"$374,000.00 "
"#Lph906 - 1 DEER PARK CRES Toronto, ON",Midtown Toronto,2,1.75,1210,131115,1.5,"$510,000.00 "
"#3909 - 21 ICEBOAT TERR Toronto, ON",Downtown,2,2.5,1140,1181,3,"$467,000.00 "
"#2811 - 20 BRUYERES MEWS Toronto, ON",Niagara,4,2.5,2440,28405,2,"$576,000.00 "
"#108 - 39 SHANK ST Toronto, ON",King West Village,3,2,1560,7352,1,"$196,440.00 "
"23 BOWOOD AVE Toronto, ON",Yonge and Lawrence,4,2.5,3210,18901,2,"$825,000.00 "
"#3206 - 38 GRENVILLE ST Toronto, ON",Downtown,2,1,930,2600,1,"$281,000.00 "
"#1404 - 25 CARLTON ST Toronto, ON",Downtown,3,2.5,1782,1577,3,"$326,000.00 "
"12 WALDER AVE Toronto, ON",Midtown Toronto,3,1.75,1740,46580,1,"$340,000.00 "
"#401 - 707 EGLINTON AVE W Toronto, ON",Midtown Toronto,5,1.75,3690,36036,1,"$440,000.00 "
"105 VICTORIA ST Toronto, ON",Downtown,4,2.5,2930,18199,2,"$749,000.00 "
"#2107 - 170 SUMACH ST Toronto, ON",Downtown,4,1,1230,8316,1.5,"$340,000.00 "
"#1102 - 263 WELLINGTON ST W Toronto, ON",Downtown,3,2,2000,7000,2,"$561,000.00 "
"#Ph05 - 58 ORCHARD VIEW BLVD Toronto, ON",Midtown Toronto,3,2.25,1520,7930,1,"$270,000.00 "
"#3305 - 224 KING ST W Toronto, ON",Downtown,2,1,1040,3600,1,"$600,000.00 "
"#1607 - 22 WELLESLEY ST Toronto, ON",Downtown,4,1.5,1120,5427,1,"$219,900.00 "
"335 GLENCAIRN AVE Toronto, ON",Midtown Toronto,3,1.75,3020,360241,2,"$617,000.00 "
"#908 - 85 BLOOR ST E Toronto, ON",Downtown,3,2.25,1820,8446,2,"$469,000.00 "
"#3814 - 386 YONGE ST Toronto, ON",Downtown,3,1,1370,56628,1,"$229,000.00 "
"#515 E - 36 LISGAR ST Toronto, ON",Little Portugal,4,3,3130,2646,2.5,"$1,265,000.00 "
"65 HAMMERSMITH AVE Toronto, ON",The Beach,3,1.5,1640,8301,1,"$365,000.00 "
"#710 E - 36 LISGAR ST Toronto, ON",Little Portugal,4,2.5,2650,9301,2,"$429,000.00 "
"#G6 - 60 FORT YORK BLVD Toronto, ON",Downtown,4,2.5,2850,6809,2,"$550,000.00 "
"#708 - 20 COLLIER ST Toronto, ON",Midtown Toronto,3,2.5,1820,16300,1,"$453,000.00 "
"#1916 - 45 CARLTON ST Toronto, ON",Downtown,3,1.5,1180,7000,1,"$187,500.00 "
"18 AFTON AVE Toronto, ON",Little Portugal,6,2.5,1880,14350,1,"$520,500.00 "
"82 WYCHWOOD PARK Toronto, ON",Midtown Toronto,3,1.75,1280,12776,1,"$300,000.00 "
"#Gph2 - 101 ERSKINE AVE Toronto, ON",Mount Pleasant West,4,3.25,3120,5000,2,"$799,000.00 "
"#1116 - 1 EDGEWATER DR Toronto, ON",East Bayfront,3,2.5,2470,4948,2,"$338,000.00 "
"#1614 - 628 FLEET ST Toronto, ON",Niagara,3,1,1700,4400,1.5,"$800,000.00 "
"#1011 - 633 BAY ST Toronto, ON",Downtown,2,2,1180,3200,1,"$360,000.00 "
"1245 DUPONT ST Toronto, ON",Wallace Emerson,6,2.5,2800,10490,1,"$442,500.00 "
"#2511 - 85 QUEENS WHARF RD Toronto, ON",Downtown,4,1,1300,1651359,1,"$700,000.00 "
"300 SHUTER ST Toronto, ON",Downtown,5,3,3040,9601,1,"$830,000.00 "
"1174 BLOOR ST W Toronto, ON",Wallace Emerson,3,2.5,1630,11592,2,"$360,400.00 "
"166 DOUGLAS DR Toronto, ON",Midtown Toronto,3,1,1340,9339,1,"$345,000.00 "
"#2705 - 260 QUEENS QUAY Toronto, ON",Downtown,3,1.75,1830,51836,1,"$300,000.00 "
"#1104 - 100 WESTERN BATTERY RD Toronto, ON",Niagara,3,1,1240,10800,1,"$350,000.00 "
"#2406 - 70 DISTILLERY LANE Toronto, ON",Downtown,4,2,2500,36900,1,"$368,000.00 "
"#320 - 25 COLE ST Toronto, ON",Downtown,3,1.75,1760,7482,1,"$264,000.00 "
"#1204 - 51 EAST LIBERTY ST Toronto, ON",Liberty Village,3,2,2660,16677,1,"$435,000.00 "
"#1 - 253 WELLESLEY ST E Toronto, ON",Downtown,3,1.5,2060,15837,1.5,"$200,000.00 "
"#2612 - 80 JOHN ST Toronto, ON",Downtown,5,2.5,2540,3832,2,"$620,000.00 "
"#Th03 - 101 ERSKINE AVE Toronto, ON",Mount Pleasant West,5,4.25,4830,11466,2,"$1,679,000.00 "
"#1708 - 1815 YONGE ST Toronto, ON",Midtown Toronto,3,1.75,1400,6000,1,"$337,000.00 "
"#712 - 51 LOWER SIMCOE ST N Toronto, ON",Entertainment District,4,3.25,4280,20296,2,"$1,928,000.00 "
"#2907 - 628 FLEET ST Toronto, ON",Niagara,4,2.5,2230,10414,1,"$544,500.00 "
"#4104 - 33 BAY ST Toronto, ON",Downtown,1,1,680,1638,1,"$252,000.00 "
"#304 - 38 GRENVILLE ST Toronto, ON",Downtown,4,2.5,2340,3784,2,"$445,000.00 "
"#1001 - 438 RICHMOND ST W Toronto, ON",Downtown,3,2.25,2070,14196,2,"$379,500.00 "
"#506 - 68 MERTON ST Toronto, ON",Midtown Toronto,4,2,1910,4225,1,"$189,950.00 "
"#527 - 29 QUEENS QUAY E Toronto, ON",Downtown,3,1,950,4250,1.5,"$469,000.00 "
"#511 - 600 FLEET ST Toronto, ON",Niagara,5,2.75,2910,53898,1,"$600,000.00 "
"#1308 - 300 FRONT ST W Toronto, ON",Downtown,3,2.5,2930,33981,2,"$785,000.00 "
"#2007 - 30 GLOUCESTER ST Toronto, ON",Church and Wellesley,4,2.75,2610,8967,2,"$372,000.00 "
"797 LANSDOWNE AVE Toronto, ON",Wallace Emerson,5,3,3880,7180,2,"$445,000.00 "
"183 SEATON ST Toronto, ON",Downtown,4,2.25,3320,53392,2,"$508,000.00 "
"#310 - 222 THE ESPLANADE Toronto, ON",Downtown,5,1.5,1940,4800,2,"$780,000.00 "
"11 RHODES AVE Toronto, ON",Leslieville,4,2.25,2510,9800,2,"$541,100.00 "
"#608 - 10 BELLAIR ST Toronto, ON",Midtown Toronto,4,2.5,2660,5608,2,"$729,000.00 "
"194 MANNING AVE Toronto, ON",Trinity - Bellwoods,3,2,1710,134489,1,"$397,000.00 "
"11 ST PATRICKS SQ Toronto, ON",Downtown,2,1,1320,4520,1,"$451,555.00 "
"#538 - 38 GRAND MAGAZINE ST Toronto, ON",Niagara,2,1,960,8153,1,"$300,000.00 "
"#214 - 2055 DANFORTH AVENUE AVE Toronto, ON",East Danforth,3,2.5,1790,11542,1,"$416,000.00 "
"#819 - 825 CHURCH ST Toronto, ON",Midtown Toronto,2,1,950,3060,1,"$490,000.00 "
"#3405 - 33 BAY ST Toronto, ON",Downtown,6,3.75,2940,5054,2,"$480,000.00 "
"#2801 - 600 FLEET ST Toronto, ON",Niagara,2,2,930,1662,1,"$368,000.00 "
"#14 - 338 SPADINA RD Toronto, ON",Midtown Toronto,3,2.5,4570,10615,2,"$1,038,000.00 "
"#514 - 10 QUEENS QUAY W QUAY Toronto, ON",Downtown,3,2.5,2370,9000,1,"$545,000.00 "
"#2101 - 21 WIDMER ST Toronto, ON",Downtown,5,2.75,3430,15119,2,"$850,000.00 "
"#106 - 253 MERTON ST Toronto, ON",Midtown Toronto,4,3.5,3540,4750,2,"$550,000.00 "
"26 BELLAIR ST Toronto, ON",Midtown Toronto,3,2.25,2240,9314,2,"$600,000.00 "
"108 SPRINGHURST AVE Toronto, ON",Parkdale,4,2.5,2710,12138,1,"$535,000.00 "
"737 AVENUE RD Toronto, ON",Midtown Toronto,3,2.5,2660,4975,2,"$599,950.00 "
"#524 - 628 FLEET ST Toronto, ON",Niagara,5,2.75,2540,5022,1,"$531,000.00 "
"#407 - 32 STEWART ST Toronto, ON",Downtown,4,2.25,2210,7665,2,"$530,000.00 "
"#3105 - 295 ADELAIDE ST Toronto, ON",Downtown,4,4,3570,8250,2,"$597,326.00 "
"#316 - 38 JOE SHUSTER WAY Toronto, ON",Toronto,4,2.5,3450,33460,2,"$805,000.00 "
"2601 50 Quebec Avenue Toronto, ON",High Park North,4,1.75,2330,8364,1,"$390,000.00 "
"#2407 - 14 YORK ST Toronto, ON",Downtown,4,2,1690,3250,1.5,"$487,250.00 "
"#518 - 103 THE QUEENSWAY BLVD Toronto, ON",Swansea,3,1.5,1030,8414,1,"$301,000.00 "
"94 ROWNTREE AVE Toronto, ON",Earlscourt,5,2.75,2560,5618,1.5,"$1,175,000.00 "
"#605 - 2055 DANFORTH AVE Toronto, ON",East Danforth,4,2.5,1950,3000,2,"$299,000.00 "
"#210 - 400 ADELAIDE ST E Toronto, ON",Downtown,4,2.25,4370,22863,2.5,"$2,350,000.00 "
"#903 - 35 BASTION ST Toronto, ON",Niagara,4,2.5,2350,3904,2.5,"$400,000.00 "
"#211 - 270 WELLINGTON ST Toronto, ON",Downtown,4,2.5,3160,7210,1,"$467,500.00 "
"#103 - 21 NASSAU ST Toronto, ON",Downtown,4,2.5,2430,9103,2,"$305,000.00 "
"326 GARFIELD Avenue Petrolia, ON",Petrolia,3,1,1340,306848,1,"$210,000.00 "
"33 BETTY NAGLE ST Toronto, ON",Humberlea,3,1,1010,10168,1,"$300,000.00 "
"61 ELDON AVE Toronto, ON",Old East York,3,2.25,1770,8755,1,"$327,500.00 "
"#301 - 1888 BAYVIEW AVE Toronto, ON",Midtown Toronto,3,2,1210,7136,1,"$269,000.00 "
"#1105 - 1 OLD MILL DR Toronto, ON",Lambton Baby Point,4,3.25,3330,17533,1,"$975,000.00 "
"#30 - 1770 ALBION RD W Toronto, ON",Rexdale,3,1,1240,5400,1,"$355,000.00 "
"#511 - 205 SHERWAY GARDENS RD Toronto, ON",Islington - City Centre West,3,1,1250,4620,1.5,"$712,000.00 "
"#Uph07 - 19 AVONDALE AVE Toronto, ON",Willowdale,4,2.5,2960,41656,2,"$883,000.00 "
"#1531 - 3 GREYSTONE WALK DR Toronto, ON",Kennedy Park,2,1,840,12252,1,"$190,000.00 "
"#A209 A - 16 MALLARD RD Toronto, ON",Don Mills,3,1.75,1530,8028,1,"$443,000.00 "
"27 WADDINGTON CRES Toronto, ON",Don Valley Village,4,3,3750,11025,2,"$920,000.00 "
"#506 - 1060 SHEPPARD AVE W Toronto, ON",Downsview,4,2.25,2150,8250,1,"$285,000.00 "
"924 PHARMACY AVE Toronto, ON",Wexford - Maryvale,4,3.25,1560,4080,1,"$901,000.00 "
"959 BRIMORTON DR Toronto, ON",Woburn,3,1.75,2040,5775,1,"$552,500.00 "
"448 GLENGROVE AVE W Toronto, ON",Midtown Toronto,2,1,860,5000,1,"$256,000.00 "
"#603 - 2330 BRIDLETOWNE CIRC Toronto, ON",Milliken,3,1.5,1720,7119,1.5,"$341,000.00 "
"#2107 - 725 DON MILLS RD Toronto, ON",Flemingdon Park,4,2.25,2090,8941,2,"$279,000.00 "
"#207 - 168 BONIS AVE Toronto, ON",Tam O'Shanter,4,2.25,2130,10650,2,"$686,000.00 "
"535 VAUGHAN RD Toronto, ON",Midtown Toronto,2,1,1300,11867,1.5,"$225,000.00 "
"#3 - 94 HALSEY AVE Toronto, ON",Woodbine Gardens,2,1.75,1220,15600,1,"$215,500.00 "
"#104 - 2088 LAWRENCE AVE Toronto, ON",Weston,4,3,2420,4800,1.5,"$950,000.00 "
"#Ph 01 - 1 MICHAEL POWER PL Toronto, ON",Islington - City Centre West,4,2.5,2940,156988,2,"$503,000.00 "
"#215 - 62 FOREST MANOR RD Toronto, ON",Henry Farm,3,2.5,2610,7567,2,"$780,000.00 "
"26 PANMURE CRES Toronto, ON",Bendale,4,2,1880,7500,1,"$212,000.00 "
"#2011 - 2 ANNDALE DR Toronto, ON",Willowdale,4,2.75,2330,6703,1.5,"$580,000.00 "
"8 MANSUR TERR Toronto, ON",York University Heights,4,2.5,2200,3141,2,"$465,000.00 "
"#708 - 88 CORPORATE DR Toronto, ON",Woburn,4,2,1720,7560,1,"$206,000.00 "
"7 CLEARBROOKE CIRC Toronto, ON",Rexdale,3,2.5,2250,10171,2,"$615,000.00 "
"#2908 - 2200 LAKE SHORE BLVD W Toronto, ON",Mimico,4,1,1640,6305,1.5,"$519,000.00 "
"#601 - 35 BRIAN PECK CRES Toronto, ON",Leaside,4,3.25,4130,11444,2,"$1,135,000.00 "
"#608 - 19 FOUR WINDS DR Toronto, ON",Jane and Finch,5,2.5,2600,3839,2,"$330,000.00 "
"#130 - 1 YORK GATE BLVD Toronto, ON",Jane and Finch,4,1.5,1920,7973,1,"$240,000.00 "
"#216 - 80 HARRISON GARDEN BLVD Toronto, ON",Willowdale,3,2,2060,7000,1,"$574,000.00 "
"51 KANARICK Crescent Toronto, ON",Downsview,4,4.25,5710,24663,2,"$930,000.00 "
"67 RABBIT LANE Toronto, ON",Eringate - Centennial - West Deane,4,3,2720,183823,2,"$850,000.00 "
"16 RADISSON ST Toronto, ON",South Cedarbrae,3,1.5,1490,7275,1,"$415,000.00 "
"11 AYLESWORTH AVE Toronto, ON",Birch Cliff,3,2.5,2360,9005,1,"$480,000.00 "
"#311 - 10 STONEHILL CRT Toronto, ON",Bridlewood,5,1,1940,8875,1,"$300,000.00 "
"#Ph24 - 3650 KINGSTON RD Toronto, ON",Scarborough Village,4,2.25,2570,9503,2,"$439,000.00 "
"#68 - 464 SILVERSTONE DR Toronto, ON",Silverstone,3,1,1160,36831,1,"$450,000.00 "
"#604 - 2645 KIPLING AVE Toronto, ON",Rexdale,3,2.5,2660,206480,1,"$589,000.00 "
"324 SPRUCEWOOD CRT Toronto, ON",L'Amoreaux,3,2.25,1260,3000,2,"$477,000.00 "
